,text,intent_ovr
40358,The script was reportedly rewritten a dozen times,review
68887,win any awards,review
7496,the negative and,review
12698,a forcefully quirky tone that quickly wears out its limited welcome,review
81781,"contrived , unmotivated",review
2672,joyous films that leaps over national boundaries and celebrates universal human nature,review
34073,honor the many faceless victims,review
34143,flirts with kitsch,review
69160,"their often heartbreaking testimony ,",review
47110,", its surprises limp",review
61103,in the guise of a dark and quirky comedy,review
27030,is banal in its message and the choice of material,review
48723,Boasts enough funny,review
23404,always brooding look,review
973,through the empty theatres,review
50912,pack your knitting needles .,review
52850,that it 's impossible to care,review
51608,does justice both to Stevenson and to the sci-fi genre,review
42329,do well to cram earplugs,review
19680,a film like RINGU when you 've seen the remake first,review
83851,disguised as a war tribute is disgusting to begin with,review
4001,once again ego does n't always go hand in hand with talent,review
69782,have been conjured up only 10 minutes prior to filming,review
39843,", colour and cringe",review
54946,the best straight-up,review
73256,at this time,review
34659,Pleasant but not,review
82911,invites unflattering comparisons to other installments in the Ryan series,review
37782,admire the ensemble players,review
83994,", never rises above the level of a telanovela .",review
42711,they take full advantage,review
55339,By turns numbingly dull-witted and disquietingly creepy .,review
33730,virulently unpleasant excuse,review
45986,In The Pianist,review
22206,the least demanding of demographic groups,review
54515,some truly egregious lip-non-synching,review
38355,Stealing Harvard ca n't even do that much .,review
4926,the sick character with a sane eye,review
11812,Sex with Strangers,review
49015,straight out of a cellular phone commercial,review
42865,a charm that 's conspicuously missing from the Girls ' big-screen blowout,review
14458,Madonna 's cameo,review
73534,another shameless attempt,review
25846,tired old vision,review
12553,This heist flick,review
60217,in a joyous communal festival of rhythm,review
25225,Never having seen the first two films in the series,review
81791,like Zhang Ziyi 's,review
18070,'s a perfectly acceptable widget,review
51662,the gross-out comedy,review
5628,"Terry Gilliam 's subconscious ,",review
23162,-LRB- Woo 's -RRB- most resonant film since The Killer .,review
25660,uneasily with the titillating material,review
50097,to sag in certain places,review
72056,flopped as surely,review
6927,that pours into every frame,review
8520,"'50s sociology , pop culture or movie lore",review
30518,Washington most certainly has a new career ahead of him,review
47584,"a dying , delusional man",review
52172,knows it 's won,review
78917,has crafted here a worldly-wise and very funny script .,review
19050,the end of cinema,review
51672,to see a movie with its heart,review
18262,they missed the boat .,review
38365,mainstream audiences will be baffled,review
22088,most of it given to children,review
79402,"take his smooth , shrewd , powerful act",review
47737,Has all the values of a straight-to-video movie,review
31497,poses for itself,review
29423,-LRB- Watts -RRB- to lend credibility to this strange scenario,review
49194,Demonstrates a vivid imagination and an impressive style,review
11256,The wonderful combination,review
82999,would have made this a superior movie,review
30725,Even more baffling,review
1838,that waxes poetic far too much for our taste,review
80625,images even more haunting than those in Mr. Spielberg 's 1993 classic,review
64077,savaged the lives and liberties of the poor and the dispossessed,review
34285,highs and lows,review
50370,mainstream foreign mush,review
22297,of Patch Adams quietly freaking out,review
79973,throughout the show,review
25957,"intricate , intimate and intelligent journey",review
41896,"The result , however well-intentioned ,",review
23016,that makes us,review
57934,of life 's harshness,review
78872,in the final 30 minutes,review
959,"emphasizes the Q in Quirky , with mixed results .",review
84100,of sixties-style slickness in which the hero might wind up,review
38014,"Lyne 's latest ,",review
13746,"Full Frontal , which opens today nationwide",review
36838,makes the movie fresh,review
37912,as an unimaginative screenwriter 's invention,review
31737,the movie 's release,review
37701,"B picture , and",review
11287,'s to blame here,review
8444,as a fairly weak retooling,review
45538,has too much on its plate,review
72210,"discerned from non-firsthand experience , and specifically",review
67728,-LRB- Barry -RRB- gives Assassin a disquieting authority .,review
20009,playing one another on the final day of the season,review
15646,At once overly old-fashioned in its sudsy plotting,review
77433,as heartily sick of mayhem,review
77216,Pan Nalin 's exposition is beautiful and mysterious,review
5832,'s finally provided his own broadside at publishing giant William Randolph Hearst,review
59441,"but also intriguing and honorable ,",review
566,silly rather than plausible,review
53346,that it 's hardly over before it begins to fade from memory,review
39971,the paranoid claustrophobia,review
36037,take 3 hours to get through,review
15903,more than one role just,review
43025,showing the humanity of a war-torn land,review
41522,"-LRB- Lin Chung 's -RRB- voice is rather unexceptional , even",review
59063,Mitch Davis 's,review
23306,that is an undeniably worthy and devastating experience,review
81979,but intellectually stultifying,review
84663,is loopy and ludicrous,review
80498,sustain its initial promise,review
1615,cool ' actors,review
85296,not a classic,review
26934,to the signs on the kiosks,review
70202,"the thin veneer of nationalism that covers our deepest , media-soaked fears",review
58005,"A funny , triumphant , and moving documentary .",review
22461,"could have been a melodramatic , Lifetime Channel-style anthology",review
13588,of Bugsy than the caterer,review
60112,", Jeunet , and von Trier",review
85624,with such life-embracing spirit,review
34112,This off-putting French romantic comedy,review
43298,Writer-director David Jacobson and his star,review
45159,Ferrara 's strongest and most touching movie of recent years .,review
65114,keep watching the skies for his next project,review
19063,the warden 's,review
36814,", one the public rarely sees .",review
38725,discovering a way,review
28314,find a place among the studio 's animated classics,review
40719,the hero 's odyssey,review
35664,while remaining true to his principles,review
25249,... standard guns versus martial arts cliche with little new added .,review
44195,because it 's about family,review
75586,in welcome perspective,review
33847,Matters play out realistically if not always fairly .,review
9273,a director I admire,review
75424,passes through the word processor,review
66783,been there squirm with recognition,review
81299,contribute to a mood that 's sustained through the surprisingly somber conclusion,review
37531,all hope of a good movie ye who enter here,review
8610,geared toward maximum comfort and familiarity,review
276,offers opportunities for occasional smiles,review
19139,to the genre and another first-rate performance,review
81760,attached to the concept of loss,review
73380,fifth beer-soaked film,review
60355,A pathetic exploitation film,review
71040,"Visually engrossing , seldom hammy ,",review
5867,this jumbled mess,review
27874,"perhaps paradoxically ,",review
84232,soap opera-ish story,review
40835,the relationship between Yosuke and Saeko is worth watching as it develops,review
55128,the point of real interest - -- audience sadism,review
55474,it can be a bit repetitive,review
2633,"A breezy blend of art , history , esoteric musings and philosophy",review
39368,"fare , with enough",review
82319,Chin 's film serves up with style and empathy,review
69983,of pre-9 \/ 11 New York and,review
80784,does n't hurt anyone and works for its participants,review
11583,in which they lived,review
64234,winning flight of revisionist fancy,review
50382,"The wonderfully lush Morvern Callar is pure punk existentialism , and",review
19359,is a copy of a copy of a copy,review
64666,'s the man that makes the clothes .,review
8430,Angel Of Death,review
38852,rush to the theatre for this one,review
33312,is generally amusing from time,review
74044,often literal riffs,review
50501,you scratching your head than hiding under your seat,review
20663,is left slightly unfulfilled .,review
10391,The mark of a respectable summer blockbuster,review
38383,a bad run in the market or a costly divorce,review
80960,fans of British cinema,review
2295,"bland , surfacey",review
80012,it was improvised on a day-to-day basis during production,review
58233,"than this long-on-the-shelf , point-and-shoot exercise in gimmicky crime drama",review
4494,"the good ,",review
78017,a fanciful film about the typical problems of average people,review
32464,swims away with the Sleeper Movie of the Summer award .,review
16977,be Burns 's strongest film since The Brothers McMullen,review
40911,an effectively chilling guilty pleasure,review
51242,is a moral,review
17684,which also is n't embarrassed to make you reach for the tissues,review
48115,like the pilot episode of a new teen-targeted action TV series,review
68434,from its own difficulties,review
12626,has some unnecessary parts and is kinda wrong in places .,review
36871,not because it was particularly funny,review
36021,like chewing whale blubber,review
82449,care about the character,review
42849,action flick formula,review
33637,upon those around him in the cutthroat world of children 's television,review
5903,a stand up and cheer flick,review
47263,"was put on the screen , just for them",review
60571,"one-sided , outwardly sexist",review
29952,the film breaks your heart,review
5995,a Japan bustling,review
62021,is what we call the ` wow ' factor .,review
48783,becomes a sprawl of uncoordinated vectors .,review
9581,is as predictable,review
44968,the annals of cinema,review
20565,tries to cram too many ingredients into one small pot,review
41157,"almost enough chuckles for a three-minute sketch ,",review
79409,"The power of this script ,",review
24579,diverse and astonishingly,review
14339,"An inexperienced director , Mehta",review
45045,jaunt down memory lane,review
53087,a splendid job,review
5366,just letting the mountain tell you what to do,review
11151,"gets sillier , not scarier",review
70327,Summer X Games,review
84584,"Kevin Smith , the blasphemous bad boy of suburban Jersey",review
73777,their idol 's energy and passion for detail,review
56172,"her mother ,",review
44412,will likely enjoy this monster,review
5617,most immediate and,review
5764,"style , structure and rhythms are so integrated with the story",review
51360,Much Ado About Something is an amicable endeavor .,review
44561,because teens are looking for something to make them laugh,review
74626,Neil Burger 's,review
14027,excess and exploitation,review
7245,energy it 's documenting,review
78673,is a good and ambitious film,review
32097,Ram Dass : Fierce Grace,review
84927,because it plays everything too safe,review
56189,very shapable but largely unfulfilling present,review
20613,past 20 minutes,review
49017,of a cellular phone commercial,review
7615,"Vaguely interesting ,",review
40014,"a slow , deliberate gait",review
63324,that matters here,review
58505,'s very much like life itself,review
13986,not number 1,review
26164,the ferocity of a frozen burrito,review
16449,is that I ca n't remember a single name responsible for it,review
59231,Touched by an Angel simplicity,review
12166,of the moment,review
9521,projects that woman 's doubts and,review
62734,"the fanatical adherents on either side , but also",review
59203,is all too calculated,review
63210,The film is explosive,review
21739,Spielberg 's first real masterpiece,review
35143,Impostor is a step down for director Gary Fleder .,review
74572,ca n't save it,review
74903,One fantastic -LRB- and educational -RRB-,review
627,makes your teeth hurt,review
62696,SONNY needs to overcome gaps in character development and story logic,review
9368,more interested in asking questions,review
27632,her agreeably startling use of close-ups,review
14850,a road-trip movie,review
71341,than expand a TV show to movie length,review
55395,To call this one,review
81532,nincompoop Benigni persona,review
47518,a $ 40 million version of a game,review
52603,", four-star movie",review
23634,Seagal appeared in an orange prison jumpsuit,review
26543,complex psychological drama,review
31412,motorized scooter chases,review
27639,creates sheerly cinematic appeal,review
66631,someone has to be hired to portray Richard Dawson,review
19086,'s not very interesting,review
5688,a mysterious voice,review
4341,Bart Freundlich 's,review
64533,"Goodall did , with a serious minded patience , respect and affection",review
15330,in a contest to see who can out-bad-act the other,review
81023,the imagination of a big kid,review
41335,"manipulation , an exploitation piece doing its usual worst to guilt-trip parents",review
41768,that gives The Lady and the Duke something of a theatrical air,review
75380,such a wallop of you-are-there immediacy,review
68780,will have you talking 'til the end of the year !,review
39005,adds up to big box office bucks all but guaranteed,review
85016,while he talks,review
16133,Represents something very close to the nadir of the thriller\/horror genre .,review
65636,dialogue and plot lapses,review
46371,just a simple fable,review
9768,"the percussion rhythm , the brass soul",review
62494,Very well-written and very well-acted,review
3344,unless you want to laugh at it,review
73224,Sam 's -RRB-,review
45222,of heart or conservative of spirit,review
42877,"dampened through familiarity ,",review
63911,an emotionally satisfying exploration,review
76668,", I hate myself most mornings .",review
11278,it 's the image that really tells the tale .,review
75637,a visual delight and a decent popcorn adventure,review
15436,"Deep intelligence and a warm , enveloping affection",review
29396,a way that is surprisingly enjoyable,review
73796,Lucy 's most obvious differences,review
82414,amounts to little more than preliminary notes for a science-fiction horror film,review
53272,... really horrible drek .,review
49552,Grant 's own twist,review
43514,with a certain degree of wit and dignity,review
1834,with his message at times,review
31000,the cast members,review
36017,Going to this movie,review
872,"fascinating , compelling story",review
40530,"inside the conservative , handbag-clutching Sarandon",review
64470,'s undeniable enjoyment to be had from films crammed with movie references,review
73620,a warm and well-told tale,review
65977,a B-12 shot,review
16235,"a rushed , slapdash , sequel-for-the-sake - of-a-sequel with less than half",review
58185,"some cute moments , funny scenes",review
33337,cutting room floor,review
7489,may find it uninteresting,review
12205,the variety of tones in Spielberg 's work,review
13067,falls down in its attempts to humanize its subject,review
83427,drive you crazy,review
8434,take this film at face value,review
65656,the idea itself,review
11800,when you instantly know whodunit,review
10619,gritty realism and magic realism,review
85959,to some extent,review
78461,"sweet , and intermittently hilarious",review
12885,"a reluctant , irresponsible man and",review
57169,the more serious-minded concerns,review
13709,no problem with `` difficult '' movies,review
38125,New York metropolitan area,review
70314,a more credible script,review
817,All in all,review
23370,"reduce everything he touches to a shrill , didactic cartoon",review
62198,manages at least a decent attempt at meaningful cinema,review
52982,guilty fun to be had here,review
82164,a work of fiction inspired by real-life events,review
69248,started hanging out at the barbershop,review
20246,The touch is generally light enough,review
39077,Pauline And Paulette,review
65928,", bitter and truthful",review
71583,new plot conceptions,review
7926,a cartoon in the end,review
14748,funny or entertaining,review
48379,` dramedy ',review
78535,goofy -LRB- if not entirely wholesome -RRB- fun,review
56109,with A Christmas Carol,review
13464,most creative mayhem,review
22321,is extraordinarily good .,review
41060,"is strong and funny , for the first 15 minutes anyway",review
54396,a cinematic postcard that 's superficial and unrealized,review
63415,Serious and thoughtful .,review
63318,My Wife 's plotting,review
4539,directive to protect the code at all costs also,review
9670,you want to slap it,review
45696,spontaneous creativity and,review
27553,every human who ever lived :,review
29881,Peter Jackson has done the nearly impossible .,review
1372,paid for it,review
7397,take us by surprise ...,review
59770,value cash above credibility .,review
11911,that I did n't mind,review
27552,that everlasting conundrum,review
4158,a variety of quirky characters and an engaging story,review
55573,"The filmmakers know how to please the eye , but",review
68431,of Holocaust movies,review
80605,'ll get plenty,review
63203,affirming and heartbreaking,review
32111,a second chance to find love in the most unlikely place,review
10704,at an AMC,review
29596,the entire period of history,review
75602,Ranges from laugh-out-loud hilarious to wonder-what - time-it-is tedious,review
45968,examines general issues of race and justice,review
59,Aggressive self-glorification and a manipulative whitewash .,review
10716,we 're - doing-it-for - the-cash,review
54398,that 's superficial and unrealized,review
4589,never quite achieves the feel of a fanciful motion picture .,review
66657,during her son 's discovery of his homosexuality,review
43031,with people who just want to live their lives,review
19148,if each watered down the version of the one before,review
3213,"solid , spooky entertainment",review
57581,is n't very effective,review
37954,that sports a ` topless tutorial service,review
62414,present Hollywood program,review
70210,'m guessing the director is a magician .,review
64619,written and directed so quietly,review
25854,feel good about themselves,review
36539,-LRB- Westbrook -RRB- makes a wonderful subject for the camera .,review
16268,a workman 's grasp,review
25304,a subtle and richly internalized performance,review
44505,Bridget Jones 's,review
4268,I hoped I would -- with moist eyes,review
47651,"a finely written , superbly acted offbeat thriller",review
76070,the stamina for the 100-minute running time,review
9121,Probably the best case for Christianity since Chesterton and Lewis .,review
63686,a dearth of vitality,review
7715,loaded with good intentions,review
16167,Saving Private Ryan,review
17247,is stiff or just plain bad,review
7518,more than a few moments,review
79421,get our moral hackles,review
59280,with poetic force and buoyant feeling,review
16533,could make a sailor,review
4776,Definitely funny stuff,review
37834,it 's also far from being a realized work,review
55510,"She 's a pretty woman , but",review
1863,Starts out mediocre,review
76294,a diary or documentary,review
17167,"is so bad ,",review
51282,be looking at,review
44683,beats a bad day of golf,review
51261,used to make movies,review
77968,without doing all that much to correct them,review
3501,attached to before,review
59504,Barrels along at the start,review
1605,the action speeds up,review
6775,interpreting the play,review
23073,of the best gay love stories,review
52802,`` other side,review
35882,"Has an uppity musical beat that you can dance to , but",review
1899,An awkwardly contrived exercise in magic realism,review
5085,Innocuous enough to make even Jean-Claude Van Damme look good,review
41650,Seen in that light,review
34909,Suffers from all the excesses of the genre,review
83829,diverting -- if predictable -- adventure,review
52143,"handled affair , a film about human darkness but",review
51249,assured in its execution,review
58209,has far more impact,review
14812,piercing domestic drama with spikes of sly humor,review
25518,"richly detailed , deftly executed",review
19754,"Lisa Rinzler 's cinematography may be lovely ,",review
41807,generate any interest,review
70782,the right elements,review
79008,never lets you off the hook .,review
39369,creative energy and wit to entertain all ages,review
67305,"so grainy and rough , so",review
53967,Antwone Fisher based on the book by Antwone Fisher,review
8423,"Yes , that 's right",review
41780,Disney 's strong sense,review
25735,having a real writer plot,review
23080,love stories of any stripe,review
52645,"The director , with his fake backdrops and stately pacing",review
313,"Hampered -- no , paralyzed --",review
2425,for the heart as well as the mind,review
78900,of research library dust,review
44842,was n't one of the film 's virtues,review
72625,it lets the pictures do the punching,review
65507,does n't make you feel like a sucker,review
31349,are too crude to serve the work especially well,review
10460,the ` true story ',review
71417,cliched and contrived,review
68322,Rosenthal -LRB- Halloween II -RRB-,review
27374,"Informative , intriguing , observant",review
85918,at least Pete 's Dragon,review
8448,"This Orange has some juice , but",review
22041,if it wanted to fully capitalize on its lead 's specific gifts,review
58158,A laughable --,review
4869,It should have stayed there .,review
32201,director Phillip -RRB-,review
67017,... is dudsville .,review
2667,like no other film in recent history,review
34823,as you figure it out,review
63547,is so film-culture referential,review
39177,one only a true believer could relish,review
6628,", while it may not rival the filmmaker 's period pieces ,",review
1629,the same fights,review
16856,off with an inauspicious,review
65280,the highest and the performances,review
9277,set in a remote African empire,review
40903,from the heart,review
10854,"enough intelligence , wit or innovation",review
25466,a reason to want to put for that effort,review
72135,gets me where I live,review
35119,to the ground,review
51782,what you think you see,review
59469,uninspired philosophical epiphany,review
16430,a good chance of being the big,review
70291,what she 's doing in here,review
83371,a way that few movies have ever approached,review
85608,"An engaging ,",review
15728,been patched in from an episode of Miami Vice,review
36170,is pretty weary,review
50823,using them as punching bags,review
30380,a cruel story,review
28226,gives itself the freedom to feel contradictory things,review
45360,for Weaver and LaPaglia,review
68356,beats new life into it,review
3136,A well-intentioned effort that 's still too burdened by the actor,review
21218,` 70s blaxploitation shuck-and-jive sitcom,review
52968,every-joke-has - been-told-a,review
42101,these two people need to find each other,review
81488,her own athleticism,review
57999,one anecdote for comparison :,review
20820,has its rewards,review
33697,arrest 15 years after their crime,review
40016,"slow , deliberate",review
46805,from Bad Lieutenant and Les Vampires,review
83752,too long to turn his movie in an unexpected direction,review
26219,Miyazaki 's teeming and,review
50855,is just a little bit hard,review
21286,the story to go on and on,review
39145,'70s exploitation picture,review
85120,a Jewish friend,review
12822,remotely new or interesting,review
44880,suggests a superior moral tone is more important,review
69919,is so busy,review
13099,the film of `` The Kid Stays in the Picture '',review
45793,about women being unknowable,review
26598,Gayton 's script,review
51017,figured out the con and the players in this debut film,review
14056,often incisive satire and unabashed sweetness,review
35567,to the film it is about,review
19236,true for being so hot-blooded,review
8713,leaves you with a few lingering animated thoughts,review
64875,has put in service,review
41355,"Ramsay is clearly extraordinarily talented , and",review
25415,Bertrand Tavernier 's,review
23117,and pretentious endeavor,review
85438,is one of the best actors there is .,review
32220,"laughs -- sometimes a chuckle , sometimes a guffaw and",review
46519,'s also one of the smartest,review
55917,The film offers an intriguing what-if premise .,review
21527,but certainly hard to hate,review
62373,Mr. Brown 's,review
8211,most aggressive and most sincere,review
19102,"especially Williams ,",review
42286,to uncover the truth and hopefully inspire action,review
47681,truly come to care about the main characters,review
10841,about women since Valley of the Dolls,review
7017,of the film,review
29407,if you ever wondered what kind of houses those people live in,review
20848,Neither the funniest film,review
74274,are quite touching,review
18026,Scorsese 's Mean Streets,review
19233,The emotion is impressively true for being so hot-blooded,review
77427,Black Hawk Down and We Were Soldiers,review
63181,It 's a compelling and horrifying story,review
37163,to find a compelling dramatic means of addressing a complex situation,review
79155,"hairline , weathered countenance and",review
13601,remarkably dull with only Caine,review
33547,"done , so primitive in technique",review
19843,the 19th-century ones,review
20431,invest such subtlety and warmth in an animatronic bear,review
74273,that are quite touching,review
16708,of a great one,review
23716,"Initially gripping , eventually cloying POW drama .",review
2619,to the otherwise bleak tale,review
69878,"they will have a showdown ,",review
44213,its bizarre heroine,review
42617,exhausting family drama,review
30482,luridly graphic and,review
85778,exciting as all this exoticism might sound to the typical Pax,review
78150,Kids who are into this Thornberry stuff,review
26914,to mine laughs,review
50721,its director 's,review
18600,allows the mind to enter and accept another world,review
43967,to fight her bully of a husband,review
40631,the indifference of Spanish social workers and legal system towards child abuse,review
42029,I ca n't say this enough,review
76925,mumbles his way,review
24172,"Each scene drags , underscoring the obvious , and",review
73952,", unusual , even nutty",review
73487,what kind of movie they were making,review
50018,surrounded by open windows,review
9671,want to slap it,review
8565,After all the big build-up,review
48880,a Sandra Bullock vehicle or a standard romantic comedy,review
52711,"gags , pranks , pratfalls , dares , injuries , etc.",review
6113,"goes there very , very slowly",review
54492,pushed to one side,review
42762,from Bambi and The Lion King,review
23150,drags the film down,review
57136,to do it his own way,review
81685,No amount of arty theorizing,review
59590,inside Danish cows,review
49111,is a must for genre fans .,review
59818,as the brilliance of Animal House,review
43106,the essence of what it is to be Ya-Ya,review
8054,not funny performers,review
83973,such a mechanical endeavor -LRB- that,review
1517,of his film,review
22087,tons and tons,review
41422,a calculating fiend,review
19374,either Esther 's initial anomie or,review
27199,afflicts so many movies about writers,review
75439,has all the wiggling energy of young kitten,review
65802,that ... a thousand times,review
37231,"winces , clutches his chest and gasps for breath",review
41985,we should be playing out,review
28560,you know the picture is in trouble .,review
1927,`` House of Games '',review
82498,"Susan Sarandon ,",review
30345,"the crackle of lines , the impressive stagings of hardware",review
9538,want to call Domino 's .,review
2765,is a really special walk in the woods,review
79101,is very funny but too concerned with giving us a plot .,review
35709,Putting the primitive murderer inside a high-tech space station,review
36284,"super - violent , super-serious and",review
58330,", it 's a pretty mediocre family film .",review
30376,cyber hymn and a cruel story of youth culture .,review
22637,about a pair of squabbling working-class spouses,review
60950,"is , truly and thankfully , a one-of-a-kind work .",review
35152,A Walk to Remember,review
59620,Offers no new insight,review
41910,does n't just make the most out of its characters ' flaws,review
70990,"direct-to-void release ,",review
74988,with an action icon,review
41721,would have likely wound up a TNT Original .,review
40576,their largest-ever historical canvas,review
30059,is tenderly observant of his characters,review
19968,"incompetent , incoherent or",review
22076,movies that demand four hankies,review
2142,the grieving process,review
29855,in search of something different,review
21470,its soul to Screenwriting For Dummies conformity,review
20006,watch as two last-place basketball,review
22958,Though in some ways similar to Catherine Breillat 's Fat Girl,review
46078,this movie so much as produced it,review
26347,by current world events,review
84227,Circuit is the awkwardly paced soap opera-ish story .,review
38553,create enough interest to make up for an unfocused screenplay,review
56400,is much more eye-catching than its blood-drenched Stephen Norrington-directed predecessor,review
75739,-LRB- Sabara -RRB- Cortez,review
40968,go back and,review
13337,director Denzel Washington,review
22293,of immaculately composed shots of Patch Adams quietly freaking out,review
70245,"'s alternately melancholic , hopeful and strangely funny",review
45062,In Alcatraz ' ... a cinematic corpse that never springs to life,review
24383,hated myself in the morning,review
69746,"was so endlessly ,",review
67121,you can get to an imitation movie,review
25087,already overladen with plot conceits,review
56867,"dancing , singing , and unforgettable characters",review
48745,almost anyone 's willingness to believe in it,review
3130,about the ruthless social order that governs college cliques,review
45622,of counter-cultural idealism and hedonistic creativity,review
9926,send you off in different direction,review
74800,some laughs in this movie,review
59630,"some kid who ca n't act , only echoes of Jordan",review
73867,any redeeming value whatsoever,review
76256,"It 's weird , wonderful , and not necessarily for kids .",review
72645,a bottom-feeder sequel in the Escape From New York series,review
30910,"superficially loose , larky documentary",review
14407,documentaries at the Sundance Film Festival,review
75748,real and amusing,review
25177,older fans or,review
76410,are big enough for a train car to drive through,review
11891,Showtime 's uninspired send-up of TV cop show cliches,review
16538,so laddish and juvenile,review
670,the script 's endless assault of embarrassingly ham-fisted sex jokes,review
81888,the lead actors a lot,review
64784,a sane regimen,review
38082,"A gorgeously strange movie , Heaven is deeply concerned with morality ,",review
29936,The Weight of Water,review
31882,-LRB- if possible -RRB-,review
28690,"Formulaic to the 51st power , more",review
20815,thought-provoking New York fest,review
79673,unaware that it 's the butt of its own joke .,review
46283,a strong erotic,review
73688,"as darkly funny , energetic",review
2386,be me : fighting off the urge to doze,review
74998,directed this movie,review
25654,stuttering editing and pompous references,review
14890,all his disparate Manhattan denizens -- especially the a \*\* holes,review
34563,fall closer in quality to Silence,review
83347,the ethereal beauty,review
19654,than the spawn,review
18110,provide an intense experience when splashed across the immense IMAX screen .,review
53762,-LRB- T -RRB- he film,review
23305,a film that is an undeniably worthy and devastating experience,review
10667,of who really wrote Shakespeare 's plays,review
16848,open-minded Elvis fans,review
43158,an anti-Harry Potter,review
84240,by both her subject matter,review
78336,you 've got a house full of tots -- do n't worry,review
37779,you can do,review
43527,those monologues stretch on and on,review
21758,Fathers and sons,review
85982,left on a remote shelf,review
65187,actually hit something for once,review
53618,Hollywood Ending just is n't very funny .,review
59215,gives you something to chew on,review
81302,that 's sustained through the surprisingly somber conclusion,review
84839,would leave you cold,review
72255,'s saccharine thrust,review
75437,and small delights,review
68282,make a gorgeous pair ...,review
49878,"It 's a brilliant , honest performance by Nicholson , but",review
7529,It just goes to show,review
85116,who tries to help a Jewish friend,review
71767,by humanity 's greatest shame,review
74543,"that both thrills the eye and , in its over-the-top way ,",review
40464,your appetite for canned corn,review
75419,in need of another couple of,review
74269,in embarrassment and others,review
35726,that fuelled DeVito 's early work,review
34686,scores a direct hit,review
10541,tries to touch on spousal abuse but veers off course,review
1656,"of lush , all-enveloping movie experience",review
14117,hope it 's only acting,review
