,text,intent_ovr
58111,to mention absolutely refreshed,review
33798,be anything more,review
71872,skipped Country Bears,review
43885,you wo n't,review
54999,immediate inclination to provide a fourth book,review
58417,goes on for at least 90 more minutes,review
80908,"arguments , schemes and treachery",review
13161,A Frankenstein mishmash that careens from dark satire to cartoonish slapstick,review
48297,shift the tone,review
2566,come from fairly basic comedic constructs,review
38002,more measured or polished production,review
14697,most good-hearted yet sensual entertainment,review
37667,Sven Wollter as the stricken composer,review
23909,"their lives , loves and",review
75227,by Joel Zwick,review
6297,all that great to begin with,review
43218,that also smacks of revelation,review
59606,of such a well loved classic,review
44098,"sharp , overmanipulative Hollywood practices",review
35974,downright comically evil,review
41684,"adorably ditsy but heartfelt performances ,",review
36735,of funny situations and honest observations,review
57631,red herring surroundings,review
75370,is too often,review
83229,whenever he 's not onscreen,review
20313,always keeping the balance between the fantastic and the believable,review
23227,"The director , Mark Pellington ,",review
48170,top and movies,review
72155,is little more than a mall movie designed to kill time .,review
36907,"A powerful , inflammatory film",review
38607,"Other than a mildly engaging central romance , Hospital",review
77685,a human volcano or,review
82960,causes of anti-Semitism ever seen on screen .,review
47272,'re in need of a Cube fix,review
9048,too erotic nor very thrilling,review
34718,is -LRB- Cattaneo -RRB- sophomore slump .,review
17964,with enough energy and excitement,review
29324,T-shirt and shower scenes,review
64107,the computer and the cool,review
27237,sit back and enjoy a couple of great actors hamming it up,review
25856,portray its literarily talented and notorious subject,review
23938,it will be well worth your time .,review
81846,-- worst of all --,review
28453,justify its two-hour running time,review
40339,"dark , challenging tune",review
50839,an ` A ' list cast and some strong supporting players,review
26725,"A thoughtful , reverent portrait of what",review
1990,are the real stars of Reign of Fire,review
63911,an emotionally satisfying exploration,review
81025,a big kid,review
49281,be obvious even to those who are n't looking for them,review
35056,of a so-called ` comedy ' and not laugh,review
20869,"a comedy , a romance , a fairy tale , or",review
59377,a sketch on Saturday Night Live,review
18549,with the excitement of the festival in Cannes,review
3537,young Ballesta and,review
16637,are in perfect balance .,review
28138,Would I see it again ?,review
47935,gives `` Mothman '',review
50614,` What 's the Russian word for Wow !? ',review
3196,look like cheap hysterics,review
63208,"The film is explosive , but",review
84714,"has no respect for laws , political correctness or common decency",review
59603,In this poor remake of such a well loved classic,review
63828,depressing than liberating,review
52331,hear about suffering Afghan refugees on the news and still,review
82895,We 've liked Klein 's other work but Rollerball left us cold,review
20543,would act if they had periods,review
25852,"uptight , middle",review
56383,its surreal sense,review
16489,"approaches his difficult , endless work with remarkable serenity and discipline",review
39748,do n't really care too much about this love story .,review
24063,terms of plot or acting,review
71785,we nod in agreement .,review
11745,mined his personal horrors,review
73910,"observant , unfussily poetic meditation",review
17815,the barbarism of ` ethnic cleansing,review
79377,the music business,review
5578,"in the middle , the film compels ,",review
34746,of their first full flush of testosterone,review
36929,a universal human impulse,review
8438,its slightly humorous and tender story,review
78181,we have come to learn,review
66368,what he does best,review
84460,Sex With Strangers is fascinating ...,review
15024,that would set it apart from other Deep South stories,review
4320,"into bizarre , implausible behavior",review
41922,'s rarely as entertaining,review
2930,some visual virtues,review
48185,built around an hour 's worth of actual material,review
54192,give Blade fans,review
30298,the enduring strengths of women,review
43727,fairly disposable yet still entertaining B,review
77688,overflowing septic tank,review
26224,the conflicted complexity of his characters,review
76679,", but with material this rich it does n't need it",review
53149,of misogyny and unprovoked violence,review
9372,in answering them,review
6137,for a holiday in Venice,review
30740,have that kind of impact on me these days,review
24272,based on Philip K. Dick stories .,review
35878,Columbia Pictures ',review
12597,", the film has in Kieran Culkin a pitch-perfect Holden .",review
83900,"It 's not a classic spy-action or buddy movie ,",review
30886,director Clare Peploe 's,review
349,the cliches with considerable dash,review
76641,a celebrated wonder in the spotlight,review
47564,"High drama , Disney-style -",review
23076,gay love stories,review
78766,there is one,review
66899,10-year-old Henry Thomas,review
20774,of the impossibly long limbs and sweetly conspiratorial smile,review
47999,with lots of surface,review
18463,"a black comedy , drama",review
2159,staring into an open wound,review
46714,and crudely literal,review
13057,men in heels,review
80985,may seem odd bedfellows,review
85384,but utterly delightful .,review
61591,it is hard to care,review
15379,wishy-washy melodramatic movie,review
1111,Theater 3000 guys,review
62707,more acquainted with the tiniest details of Tom Hanks ' face,review
34944,of bland Hollywood romance,review
63656,is so self-pitying,review
53948,it lacks in originality,review
10381,librarian -LRB- Orlando Jones -RRB-,review
20787,conquer the online world,review
84422,"find an escape clause and avoid seeing this trite , predictable rehash",review
75670,broad streaks of common sense emerge with unimpeachable clarity .,review
75021,of its own importance,review
49843,from male persona to female,review
7981,white-trash situation imaginable,review
11037,visual charm or texture,review
26899,marks an encouraging new direction for La Salle,review
1514,any less psycho,review
80124,captures a life interestingly lived,review
23344,"sometimes inspiring ,",review
85934,Kung Pow sets a new benchmark for lameness .,review
18964,too many spots where it 's on slippery footing,review
12793,a nomination for a best-foreign-film Oscar,review
36316,what a reckless squandering,review
17298,"`` Bad '' is the operative word for `` Bad Company ,",review
18162,the first 2\/3,review
13779,"funny , touching , smart and complicated",review
80222,instead gets -LRB- sci-fi -RRB- rehash,review
82471,"An empty , ugly exercise",review
24834,'s flawed but staggering,review
70617,in a frenzy,review
8373,to check it out,review
6098,early and middle passages,review
9112,Abandon '' will leave you wanting to abandon the theater .,review
28044,"is a truly , truly bad movie .",review
5157,had to escape from director Mark Romanek 's self-conscious scrutiny to happen,review
52091,its potential audience,review
62659,"The results , if not memorable , are at least interesting .",review
9616,"terrified of the book 's irreverent energy , and scotches most",review
3431,the right place,review
57257,very compelling tale,review
27962,'s all that 's going on here,review
14139,A stirring tribute,review
25363,One look at a girl in tight pants and big tits and,review
26791,"there 's a plethora of characters in this picture ,",review
54516,truly egregious lip-non-synching,review
57451,have no bearing on the story,review
11637,"lots of boring talking heads , etc.",review
59259,a seasonal holiday kids,review
45111,in scattered fashion,review
86011,about the thousands of Americans who die hideously,review
44124,"Lathan and Diggs carry the film with their charisma , and",review
66218,an unlikely release,review
80156,what if it is,review
59861,for nice evening out,review
3631,'re going through the motions,review
73529,thrills and a mystery devoid,review
23782,before she gets to fulfill her dreams,review
62694,give the transcendent performance,review
31606,"modest , crowd-pleasing goals",review
7700,with the Loyal Order of Raccoons,review
28923,reflect a woman 's point-of-view .,review
85209,of purpose and even-handedness,review
4125,wonderful acting clinic,review
3187,so intimate and,review
46257,compensate for them,review
75399,the marquis -LRB- Auteil -RRB- and Emilie -LRB- Le Besco -RRB-,review
36250,"veered off too far into the Exxon zone ,",review
71805,just does n't have big screen magic,review
71878,a such a brainless flibbertigibbet,review
58484,is n't back at Blockbuster,review
28645,the worst way,review
115,his childhood dream,review
15273,No Such Thing is Hartley 's least accessible screed yet .,review
37757,as a noble teacher who embraces a strict moral code,review
46849,a legendary professor and Kunis,review
39288,remains that a wacky concept does not a movie make .,review
30296,a poem to the enduring strengths of women,review
62733,energy and geniality,review
64175,movies dominated by CGI aliens and super heroes,review
47916,"A low-budget affair , Tadpole was shot on digital video ,",review
47947,"Stale first act , Scrooge story ,",review
7112,Paul Cox needed to show it .,review
17854,of how to develop them,review
20778,impossibly long limbs and,review
35200,knee-jerk moral sanctimony,review
11920,so much like a young Robert DeNiro,review
5076,"revealed by the dispassionate Gantz brothers as ordinary , pasty lumpen",review
2047,'d probably turn it off,review
58105,that will amuse or entertain them,review
34848,a great way to spend 4 units of your day,review
75378,Unfolds with such a wallop of you-are-there immediacy,review
8925,our lives and the emptiness one,review
10402,unadulterated thrills or,review
62830,its drastic iconography,review
83372,that few movies have ever approached,review
15260,it is a hilarious place to visit,review
23160,"fun , no-frills ride",review
28313,to find a place among the studio 's animated classics,review
67207,loves women at all,review
9191,be the definition of a ` bad ' police shooting,review
78443,"We get light showers of emotion a couple of times , but",review
76868,tasty and sweet,review
41885,this movie will worm its way there .,review
47580,'s on the level or merely,review
54667,escort their little ones,review
17507,"of whimsicality , narrative discipline and serious improvisation",review
84268,brooding but quietly,review
54477,if she 's cut open a vein,review
57079,a real shame,review
49184,had a dream,review
28336,about the movie,review
28707,"The three leads produce adequate performances ,",review
79213,"at morality , family , and social expectation",review
29820,a pretty good overall picture,review
74169,I Know About Her,review
14101,lived there in the 1940s,review
55107,The year 2002 has conjured up more coming-of-age stories than seem possible,review
44080,Adrian Lyne 's,review
36742,easy one to review,review
20331,About Schmidt a lot,review
36875,grab the old lady at the end of my aisle 's walker,review
26438,into a believable mother\/daughter pair,review
22801,The Porky 's Revenge :,review
39070,of emotional desperation,review
21913,the state of California,review
45934,is never quite able,review
3549,schematic and obvious,review
41816,", can not overcome blah characters",review
49006,The Scorpion King more than ably meets those standards,review
65895,directors Dean Deblois and Chris Sanders,review
36535,dilutes the potency of otherwise respectable action,review
53105,a German factory,review
51154,Tells -LRB- the story -RRB-,review
12522,does n't end up being very inspiring or insightful,review
55885,than pure wankery,review
51832,I 'll buy the Criterion DVD .,review
80249,"keep you watching , as will the fight scenes",review
22266,the symbiotic relationship,review
13272,to be genuinely satisfying,review
59193,` The Loud and the Ludicrous ',review
17812,the killing field and the barbarism of ` ethnic cleansing,review
81971,bespeaks an expiration date passed a long time ago,review
4401,from the material,review
20128,a great deal of insight,review
1755,"brilliantly played , deeply unsettling experience",review
3990,just seems manufactured to me and artificial,review
61529,one of those art house films,review
53773,an ambiguous presentation,review
35071,Bo Derek made the ridiculous Bolero,review
68098,of human behavior on the screen,review
27068,A sentimental mess,review
4852,linger long after this film has ended,review
46402,clever ideas and,review
63180,"It 's a compelling and horrifying story ,",review
61643,"comes across ,",review
42622,as its subject,review
82731,Douglas McGrath 's version of ` Nicholas Nickleby ',review
66469,does n't overcome the tumult of maudlin tragedy .,review
84616,between Paul Thomas Anderson 's Magnolia and David Lynch 's Mulholland Dr.,review
45976,about the death penalty,review
29376,the human race splitting in two,review
9610,of the things that made the first one charming,review
11820,seem as long as the two year affair which is its subject,review
39136,-LRB- Denis ' -RRB- bare-bones narrative more closely,review
32544,no real surprises,review
34501,loved this film,review
19240,are up to the task,review
75607,A reminder that beyond all the hype and recent digital glitz,review
33109,dispense the same advice,review
4074,the line between sappy and sanguine,review
79384,the human need for monsters to blame for all that,review
35940,crafted a deceptively casual ode to children,review
55746,never comes close to recovering from its demented premise,review
76719,either moderately amusing,review
2838,more psychotic than romantic,review
60479,"your interest , your imagination",review
30089,So unique and,review
60329,", even punny 6",review
28599,big round eyes and,review
76661,"considerable skill and determination ,",review
84379,"any of these three actresses , nor",review
49235,into an electric pencil sharpener,review
34631,waits grimly for the next shock,review
474,more experimental in its storytelling,review
27875,Pull -LRB- s -RRB- off the rare trick of recreating not only,review
29443,make its way past my crappola radar,review
12188,should move quickly,review
66323,play one lewd scene,review
12457,made at least one damn fine horror movie,review
14605,-LRB- but -RRB- there is n't much about K-19,review
7943,"yet with a distinctly musty odour , its expiry date long gone",review
25121,bad action movie,review
41539,the complicated love triangle that develops between the three central characters,review
60251,pump life into overworked elements from Eastwood 's Dirty Harry period,review
20548,"picked me up , swung me around ,",review
60932,the grandeur of the best Next Generation episodes,review
18579,think of a film more cloyingly sappy than Evelyn this year,review
56490,chitchat that only self-aware neurotics engage in,review
49160,free of her old life,review
48034,holds the film,review
37621,'s easy to like and,review
65524,of those films that seems tailor,review
57736,the tiniest segment of an already obscure demographic,review
83300,make watching such a graphic treatment of the crimes bearable,review
53302,has brought to the screen,review
49302,"A fast-paced , glitzy but extremely silly piece .",review
62210,a stunning technical achievement,review
27228,it does because -LRB- the leads -RRB- are such a companionable couple,review
7095,the master of innuendo,review
57919,that suffers because of its many excesses,review
44176,the women 's,review
84722,displays something more important,review
63131,", remains a complete blank",review
43011,Pure of intention and passably diverting,review
6643,through the narrative,review
16016,Kline 's superbly nuanced performance,review
49922,manages a neat trick,review
56920,into the sort of heartache everyone,review
76058,Chan moment ',review
22697,constant smiles and,review
11686,the movie has a tougher time balancing its violence with Kafka-inspired philosophy,review
67113,most poorly staged and lit action,review
28612,it has been with all the films in the series,review
59570,that parade about,review
17128,on the fringes of the American underground,review
31274,of vampire fun,review
68092,South Korean cinema,review
79367,will enjoy seeing how both evolve,review
54506,than the cool bits,review
70707,", Aaliyah gets at most 20 minutes of screen time .",review
79392,is amiss in the world,review
29051,performed by a quintet of actresses,review
66976,'s not an easy movie to watch and,review
38261,"There 's nothing exactly wrong here ,",review
31862,have to be laid squarely on Taylor 's doorstep,review
55484,entertaining and informative documentary,review
26074,hard on `` The Mothman Prophecies '',review
9067,for whom political expedience became a deadly foreign policy,review
54509,sit near the back,review
79446,quirks and foibles,review
26814,chafing inner loneliness and desperate grandiosity,review
22461,"could have been a melodramatic , Lifetime Channel-style anthology",review
49405,is not a Jackie Chan movie,review
50515,as important as humor,review
11511,bewilderingly brilliant and entertaining,review
32309,this 20th anniversary edition,review
9682,shows its indie tatters and self-conscious seams in places,review
7876,finding their way,review
28256,"What John does is heroic ,",review
9371,than in answering them,review
77198,the mysteries of human behavior,review
70934,like Slob City reductions of Damon Runyon crooks,review
66229,wet in some places,review
4219,"deserves , at the very least",review
65237,result in a movie that works against itself,review
8476,a loss that shatters her cheery and tranquil suburban life,review
58966,attempt to generate suspense rather than gross out the audience,review
19743,of the most gloriously unsubtle and adrenalized extreme,review
5105,the opposite of a truly magical movie,review
83540,"Boy , has this franchise ever run out of gas .",review
40160,say it 's unburdened by pretensions to great artistic significance,review
18524,could feel my eyelids ... getting ... very ... heavy,review
66635,hired to portray Richard Dawson,review
28389,you may not have heard before,review
70932,is so engagingly,review
47044,outside the under-10 set,review
28941,There 's more repetition than creativity throughout the movie .,review
